SP1000,,SALESMAN:,Kiofi Odoru,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,MONDAY,,TUESDAY,,WEDNESDAY,,THURSDAY,,FRIDAY,
15,DAVI STORE,DAVI,,545247141,EAST ADENTA,VILLAGE,NOT FAR FROM DR.WATER ENTERPRISE,LARYEA AFROMAN,,-0.165669989,5.698284694,"0?? 9' 56.412"" W","5?? 41' 53.825"" N",
16,NA,SALOMEY ADJEI,,NA,EAST ADENTA,VILLAGE,NEAR DR.WATER ENTERPRISE,LARYEA AFROMAN,,-0.165672369,5.700055608,"0?? 9' 56.421"" W","5?? 42' 0.200"" N",
17,MAWUENA STORE,FLORENCE,,244997759,EAST ADENTA,VILLAGE,NEAR DR.WATER ENTERPRISE,LARYEA AFROMAN,,-0.165736614,5.700276898,"0?? 9' 56.652"" W","5?? 42' 0.997"" N",
18,NA,SISTER CYNTHIA,,243680292,EAST ADENTA,VILLAGE,NEAR K-4 GUEST HOUSE,NA,,-0.168067772,5.700450837,"0?? 10' 5.044"" W","5?? 42' 1.623"" N",
19,MY GOD IS ABLE,JUDITH OFORI,,246443371,EAST ADENTA,VILLAGE,ALONG THE NII ONANE STREET,NII ONANE STREET,,-0.170340158,5.701590598,"0?? 10' 13.225"" W","5?? 42' 5.726"" N",
20,SURO NIPA,SURO NIPA,,242372906,EAST ADENTA,VILLAGE,ALONG NII ONANE STREET,NII ONANE STREET,,-0.16896245,5.701790473,"0?? 10' 8.265"" W","5?? 42' 6.446"" N",
21,GOD IS MY PROVIDER,SISTER DIANA,,209758714,EAST ADENTA,VILLAGE,BESIDE ROYAL PARADISE HOTEL,ADJEI ONANE STREET,,-0.167306345,5.701474005,"0?? 10' 2.303"" W","5?? 42' 5.306"" N",
22,ADOMA ENTERPRISE,ADOMA,,278066084,EAST ADENTA,VILLAGE,NEAR ROYAL PARADISE HOTEL,ADJEI ONANE STREET,,-0.167006533,5.70145259,"0?? 10' 1.224"" W","5?? 42' 5.229"" N",
23,BY HIS GRACE,MADAM GRACE,,242239958,EAST ADENTA,STATION,CLOSE TO THE TROTRO STATION,NA,,-0.165972895,5.705278525,"0?? 9' 57.502"" W","5?? 42' 19.003"" N",
24,NA,MADAM VICTORIA,,NA,EAST ADENTA,STATION,CLOSE TO THE TROTRO STATION,NA,,-0.166371455,5.706333816,"0?? 9' 58.937"" W","5?? 42' 22.802"" N",
25,MARY'S MINI MART,MARY DARTEY,,243363634,EAST ADENTA,SNNIT FLAT,CLOSE TO ADENTAN POST OFFICE,KLANNA AVENUE,,-0.166054986,5.707810271,"0?? 9' 57.798"" W","5?? 42' 28.117"" N",
26,MAME BOATEMA STORE,MAAME BOATEMAA,,244660866,EAST ADENTA,SNNIT FLAT,CLOSE TO ADENTAN POST OFFICE,KLANNA AVENUE,,-0.166069263,5.708510785,"0?? 9' 57.849"" W","5?? 42' 30.639"" N",
27,SERWAA MART,SISTER MARIAM,,244889834,EAST ADENTA,SNNIT FLAT,DIRECTLY OPPOSITE ADENTAN COMMUNITY SCHOOL,NA,,-0.159928826,5.707450021,"0?? 9' 35.744"" W","5?? 42' 26.820"" N",
28,NA,MADAM REGINA,,545402190,EAST ADENTA,SNNIT FLAT,NEAR MILLI'S SPOT,NA,,-0.159579045,5.706843259,"0?? 9' 34.485"" W","5?? 42' 24.636"" N",
29,M.C ENTERPRISE,MAGORI,,243113711,EAST ADENTA,SNNIT FLAT,ADJACENT MILLI'S SPOT,NA,,-0.159579045,5.706329295,"0?? 9' 34.485"" W","5?? 42' 22.785"" N",
30,HILDA ENTERPRISE,HILDA DANKWAH,,244681721,EAST ADENTA,APROTECH,ALONG THE 1ST APROTECH STREET,1ST APROTECH STREET,,-0.161983253,5.705294229,"0?? 9' 43.140"" W","5?? 42' 19.059"" N",
31,JAMARS ENTERPRISE,MARY ASARE,,244727328,EAST ADENTA,SECOND MARKET STREET,ADJACENT ADENTAN ESTATE,NA,,-0.161519258,5.704209671,"0?? 9' 41.469"" W","5?? 42' 15.155"" N",
32,GINA STORE,MADAM GINA,,276623108,EAST ADENTA,T.I.C JUNCTION,200METERS FROM BEIGE CAPITAL,NA,,-0.162835575,5.702513591,"0?? 9' 46.208"" W","5?? 42' 9.049"" N",
33,NA,SISTER RITA,,242809443,EAST ADENTA,APROTECH,NOT FAR FROM BEIGE CAPITAL,NA,,-0.163577571,5.703418976,"0?? 9' 48.879"" W","5?? 42' 12.308"" N",
34,NA,MRS. BEATRICE ARMAH,,243444759,EAST ADENTA,APROTECH,ALONG SOWATEY AVENUE,SOWATEY AVENUE,,-0.164034427,5.703057298,"0?? 9' 50.524"" W","5?? 42' 11.006"" N",
35,NA,NAOMI,,275228895,EAST ADENTA,APROTECH,ALONG THE 3RD APROTECH STREET,3RD APROTECH STREET,,-0.164810132,5.703285726,"0?? 9' 53.316"" W","5?? 42' 11.829"" N",
36,SADEB ENTERPRISE,AUNTY BEA,,NA,EAST ADENTA,APROTECH,NOT FAR FROM THE ADENTAN TROTRO STATION,APROTECH,,-0.165400952,5.705032806,"0?? 9' 55.443"" W","5?? 42' 18.118"" N",
37,NA,JOYCELA,,242680943,EAST ADENTA,APROTECH,NEAR BOND SQUARE,NA,,-0.170017106,5.703941823,"0?? 10' 12.062"" W","5?? 42' 14.191"" N",
38,MORNING STAR,SISTER MARY,,248857351,EAST ADENTA,BARRIER,ADJACENT THE PRUDENTIAL BANK,NA,,-0.170196755,5.706401472,"0?? 10' 12.708"" W","5?? 42' 23.045"" N",
39,SONGS OF PRAISE,ABOAGYEWAA,,243962740,EAST ADENTA,BARRIER,ADJACENT THE PRUDENTIAL BANK,NA,,-0.169939774,5.706401472,"0?? 10' 11.783"" W","5?? 42' 23.045"" N",
40,DORA STORE,MADAM DORA,,277426515,EAST ADENTA,VILLAGE,NOT FAR FROM DR.WATER ENTERPRISE,LARYEA AFROMAN,,-0.165884141,5.698784381,"0?? 9' 57.183"" W","5?? 41' 55.624"" N",
41,DOREEN ENTERPRISE,DOREEN GYAMFI,,243737104,EAST ADENTA,FRAFRAHA,CLOSE TO VICTORY PRESBY CHURCH,NII OKPOTI  ADJEI COMMEY STREET,,-0.155387109,5.7135903,"0?? 9' 19.394"" W","5?? 42' 48.925"" N",
42,COMFORT ENTERPRISE,SISTER COMFORT,,244527750,EAST ADENTA,FRAFRAHA,CLOSE TO VICTORY PRESBY CHURCH,NII OKPOTI  ADJEI COMMEY STREET,,-0.154625682,5.713614094,"0?? 9' 16.652"" W","5?? 42' 49.011"" N",
43,LINDA ENTERPRISE,SISTER LINDA GYATI,,200248370,EAST ADENTA,FRAFRAHA,DIRECT OPPOSITE THE VICTORY PRESBY CHURCH,NII OKPOTI  ADJEI COMMEY STREET,,-0.15683858,5.713828246,"0?? 9' 24.619"" W","5?? 42' 49.782"" N",
44,GRACE STORE,MADAM GRACE,,544485817,EAST ADENTA,FRAFRAHA,NEAR VICTORY PRESBY CHURCH,NA,,-0.158940834,5.712567369,"0?? 9' 32.187"" W","5?? 42' 45.243"" N",
45,KWAME VENTURES,KWAME,,NA,EAST ADENTA,FRAFRAHA,ADJACENT VICTORY PRESBY CHURCH,NA,,-0.157162187,5.711113519,"0?? 9' 25.784"" W","5?? 42' 40.009"" N",
46,EYE ADOM STORE,MR.DANIEL,,246391389,EAST ADENTA,FRAFRAHA,NOT FAR FROM VICTORY PRESBY CHURCH,NA,,-0.156139019,5.711125416,"0?? 9' 22.100"" W","5?? 42' 40.051"" N",
47,BREAK THROUGH ENTERPRISE,BREAK THROUGH,,NA,EAST ADENTA,FRAFRAHA,ADJACENT SIR BEE GUEST HOUSE,NA,,-0.155239582,5.708036638,"0?? 9' 18.862"" W","5?? 42' 28.932"" N",
48,GRACE ENTERPRISE,GRACE ACQUAH,,246626919,EAST ADENTA,SNNIT FLAT,NEAR ADENTA COMMUNITY SCHOOL,NA,,-0.158016413,5.708878967,"0?? 9' 28.859"" W","5?? 42' 31.964"" N",
49,AFIA ENTERPRISE,AFIA,,578338344,EAST ADENTA,SNNIT FLAT,NEAR ADENTA COMMUNITY SCHOOL,NA,,-0.156998004,5.707759827,"0?? 9' 25.193"" W","5?? 42' 27.935"" N",
50,AMAT VENTURES,AUNTY COMFORT,,208828062,EAST ADENTA,SNNIT FLAT,NOT FAR FROM ADENTA COMMUNITY SCHOOL,NA,,-0.156945656,5.707645613,"0?? 9' 25.004"" W","5?? 42' 27.524"" N",
51,HARRY MAY,HARRY MAY,,NA,EAST ADENTA,LOTTO KIOSK,NEAR  OLIVE AVENUE  JUNCTION,NA,,-0.151738126,5.706366573,"0?? 9' 6.257"" W","5?? 42' 22.920"" N",
52,BEATRICE STORE,AUNTY BEATRICE,,NA,EAST ADENTA,LOTTO KIOSK,ALONG OLIVE AVENUE,OLIVE AVENUE,,-0.151709573,5.7048875,"0?? 9' 6.154"" W","5?? 42' 17.595"" N",
53,BOW AND ARROW,MAME ESTHER,,553682272,EAST ADENTA,BARRIER,NEAR THE WONDRE CATHEDRAL,NA,,-0.170366926,5.709315677,"0?? 10' 13.321"" W","5?? 42' 33.536"" N",
54,K-MART,K-MART,,269353499,EAST ADENTA,SAW MILL FRAFRAHA,NOT FAR FROM THE GN BANK,ADENTA-DODOWA ROAD,,-0.164841818,5.717767523,"0?? 9' 53.431"" W","5?? 43' 3.963"" N",
55,LINCEP ENTERPRISE,STELLA  ATREKU,,242914277,EAST ADENTA,SNNIT FLAT,DIRECTLY OPPOSITE THE CALVARY BAPTIST CHURCH,ADENTA-DODOWA ROAD,,-0.166059805,5.709659608,"0?? 9' 57.815"" W","5?? 42' 34.775"" N",
56,NA,SISTER VIDA,,277470390,EAST ADENTA,FIDELITY WASHING BAY,NOT FAR FROM FIDELITY WASHING BAY,NA,,-0.167834902,5.715424388,"0?? 10' 4.206"" W","5?? 42' 55.528"" N",
57,NA,MADAM VICTORIA,,541337239,EAST ADENTA,MOTHER LOVE,ALONG MENSAH BIRIBI STREET,MENSAH BIRIBI STREET,,-0.168120438,5.716731902,"0?? 10' 5.234"" W","5?? 43' 0.235"" N",
58,MEGEMEL ENTERPRISE,MEGEMEL,,246439636,EAST ADENTA,MOTHER LOVE,ALONG MENSAH BIRIBI STREET,MENSAH BIRIBI STREET,,-0.16643102,5.715887193,"0?? 9' 59.152"" W","5?? 42' 57.194"" N",
59,NYOMO WOKO PROVISION STORE,SISTER EMELIA,,NA,EAST ADENTA,FIDELITY WASHING BAY,NOT FAR FROM THE FIDELITY BANK,NA,,-0.166290632,5.713663587,"0?? 9' 58.646"" W","5?? 42' 49.189"" N",
60,NA,MADAM GLORIA,,244817251,EAST ADENTA,FRAFRAHA,ALONG ANANG KOOTSE AVENUE,ANANG KOOTSE AVENUE,,-0.165909918,5.714466655,"0?? 9' 57.276"" W","5?? 42' 52.080"" N",
61,MAYCOM ENTERPRISE,MAYCOM,,277534963,EAST ADENTA,OKPOTIKORPE,ALONG ADJEI COMMEY AVENUE,ADJEI COMMEY AVENUE,,-0.163888566,5.716102534,"0?? 9' 49.999"" W","5?? 42' 57.969"" N",
62,NA,SISTER AGNES,,277589259,EAST ADENTA,OKPOTIKORPE,ALONG ADJEI COMMEY AVENUE,ADJEI COMMEY AVENUE,,-0.163053375,5.71576703,"0?? 9' 46.992"" W","5?? 42' 56.761"" N",
63,GRACE STORE,DIVINE GRACE,,NA,EAST ADENTA,OKPOTIKORPE,ALONG ADJEI COMMEY AVENUE,ADJEI COMMEY AVENUE,,-0.160301529,5.714358984,"0?? 9' 37.086"" W","5?? 42' 51.692"" N",
64,NYAME NE HENE,SISTER MARY,,242003000,EAST ADENTA,FRAFRAHA,NEAR THE PRESBYTERIAN CHURCH,NA,,-0.158603545,5.71451127,"0?? 9' 30.973"" W","5?? 42' 52.241"" N",
65,AMYVOC ENTERPRISE,EMELIA ACQUAH,,242516855,EAST ADENTA,FRAFRAHA,ADJACENT ROWI,NA,,-0.1599527,5.714896743,"0?? 9' 35.830"" W","5?? 42' 53.628"" N",
66,EMMA JOY ENTERPRISE,JOYCE ADJEI,,244542046,EAST ADENTA,ROWI,ADJACENT ROWI,NA,,-0.161331835,5.715539197,"0?? 9' 40.795"" W","5?? 42' 55.941"" N",
67,EVER.J SHOPPING CENTER,EVER .J,,243003711,EAST ADENTA,FRAFRAHA,BESIDES G.N BANK,MENSAH KOLOTA STREET,,-0.164517339,5.718940042,"0?? 9' 52.262"" W","5?? 43' 8.184"" N",
68,GREAT EBENEZER,MRS.GLADYS,,276011411,EAST ADENTA,FRAFRAHA,200METERS FROM THE G.N BANK,ADENTA-DODOWA ROAD,,-0.163096801,5.721114393,"0?? 9' 47.148"" W","5?? 43' 16.012"" N",
69,NA,FLORENCE ZOR FUMMEY,,243377191,EAST ADENTA,B.B CORTEX,ADJACENT JUST THANKS CLOTHING,NA,,-0.159108824,5.722206566,"0?? 9' 32.792"" W","5?? 43' 19.944"" N",
70,NA,SISTER ROSEMARY,,244962442,EAST ADENTA,FRAFRAHA,200METERS FROM UNITY INTERNATIONAL COLLEGE,NA,,-0.158088035,5.723148832,"0?? 9' 29.117"" W","5?? 43' 23.336"" N",
71,COMFORT STORE,SISTER COMFORT,,243035469,EAST ADENTA,FRAFRAHA,INFRONT OF UNITY INTERNATIONAL COLLEGE,NA,,-0.159151654,5.723641381,"0?? 9' 32.946"" W","5?? 43' 25.109"" N",
72,NA,KWAME,,556796074,EAST ADENTA,ALHAJI  FRAFRAHA,DIRECTLY OPPOSITE NII MANTSE JNR.AVENUE JUNCTION,MENSAH KWAO OSANTRO STREET,,-0.157130064,5.722083786,"0?? 9' 25.668"" W","5?? 43' 19.502"" N",
73,DEO HOME MARK,EMEFA,,244275649,EAST ADENTA,ALHAJI  FRAFRAHA,BESIDE NII MANTSE JNR.AVENUE JUNCTION,MENSAH KWAO OSANTRO STREET,,-0.156849288,5.722148031,"0?? 9' 24.657"" W","5?? 43' 19.733"" N",
74,PAT STORE,PAT,,NA,EAST ADENTA,ALHAJI  FRAFRAHA,ADJACENT SURVIVE SCHOOL COMPLEX,MENSAH KWAO OSANTRO STREET,,-0.154795813,5.720515721,"0?? 9' 17.265"" W","5?? 43' 13.857"" N",
75,ELE MAWUSI STORE,MADAM STELLA,,245461313,EAST ADENTA,FRAFRAHA,ADJACENT THE FAITH WAY INTERNATIONAL SCHOOL,NA,,-0.158317415,5.718427744,"0?? 9' 29.943"" W","5?? 43' 6.340"" N",
76,OKYESU NYAME,SISTER REJOICE,,554455994,EAST ADENTA,COMMANDOS,ALONG NTREH AVENUE,NTREH AVENUE,,-0.153281286,5.718376585,"0?? 9' 11.813"" W","5?? 43' 6.156"" N",
77,SERWAA MART,SISTER SERWAA,,244889834,EAST ADENTA,SNNIT FLAT,NOT FAR FROM ADENTA COMMUNITY SCHOOL,NA,,-0.160067536,5.707447382,"0?? 9' 36.243"" W","5?? 42' 26.811"" N",
78,YEHOWA JI MIKWEDO,SISTER ROSINA,,274459150,ADENTA,AMANFROM,ADJACENT THE AMANFROM FOOTBALL PARK,AMANFROM-BOTWE ROAD,,-0.149040464,5.749778783,"0?? 8' 56.546"" W","5?? 44' 59.204"" N",
79,THE LORD IS MY SHEPPRERD,NANA  ADOLE,,547290551,ADENTA,AMANFROM,NEAR THE AMANFROM CENTRAL MOSQUE,ADENTA-DODOWA ROAD,,-0.149211785,5.751049415,"0?? 8' 57.162"" W","5?? 45' 3.778"" N",
80,NO HURRY IN LIFE,ESTHER AMARKA,,243706282,ADENTA,BARRIER,CLOSE TO THE ADENTA BARRIER,ADENTA-DODOWA ROAD,,-0.168260522,5.711884577,"0?? 10' 5.738"" W","5?? 42' 42.784"" N",
81,TO GOD BE THE GLORY,SISTER PATIENCE,,244998885,ADENTA,BARRIER,CLOSE TO THE ADENTA BARRIER,ADENTA-DODOWA ROAD,,-0.168028798,5.712265204,"0?? 10' 4.904"" W","5?? 42' 44.155"" N",
82,JACKIES ENTERPRISE,JACKIE,,246365521,ADENTA,FULANI,ALONG NIMBUS STREET,NIMBUS STREET,,-0.143983712,5.745659539,"0?? 8' 38.341"" W","5?? 44' 44.374"" N",
83,SOME GIFT ENTERPRISE,GIFTY ARTHUR,,244829548,ADENTA,FULANI,NOT FAR FROM THE SHELL STATION,ASHIYIE-FULANI ROAD,,-0.146814811,5.744766194,"0?? 8' 48.533"" W","5?? 44' 41.158"" N",
84,GYI NYAME YE ENTERPRISE,MADAM ESTHER,,554524521,ADENTA,FULANI,NEAR FELIGON GENERAL MRECHANT,ASHIYIE-FULANI ROAD,,-0.145401411,5.745130252,"0?? 8' 43.445"" W","5?? 44' 42.469"" N",
85,MONAT MINI MART,MONICA,,243065986,ADENTA,FULANI,CLOSE TO AMBER STREET JUNCTION,ASHIYIE-FULANI ROAD,,-0.144459605,5.74508133,"0?? 8' 40.055"" W","5?? 44' 42.293"" N",
86,CECILIA`S STORE,CECILIA,,543364119,ADENTA,FULANI,300METRES TO THE SHELL FUEL STATION,ASHIYIE-FULANI ROAD,,-0.142793982,5.744536433,"0?? 8' 34.058"" W","5?? 44' 40.331"" N",
87,SEFAKO`S STORE,SEFAKOR,,NA,ADENTA,FULANI,NEAR THE FULANI DAM ASHIYIE,ASHIYIE-FULANI ROAD,,-0.140214646,5.742728043,"0?? 8' 24.773"" W","5?? 44' 33.821"" N",
88,MAMA GYIMAH STORE,MRS. GYIMAH,,544003888,ADENTA,ASHIYIE,ADJACENT THE ASHIYIE CEMETRY,ADENTA-DODOWA ROAD,,-0.151403268,5.747138771,"0?? 9' 5.052"" W","5?? 44' 49.700"" N",
89,S AND D SUPERMARKET,S AND D,,244779630,ADENTA,AMANFROM,NEAR THE AMANFROM FOOTBALL PARK,NA,,-0.149754302,5.749593185,"0?? 8' 59.115"" W","5?? 44' 58.535"" N",
90,PEACE AND LOVE,SISTER  ADWOA,,242767766,ADENTA,OYARIFA,NEAR RICHOP EXCLUSIVE HOTEL,NA,,-0.173366027,5.728688176,"0?? 10' 24.118"" W","5?? 43' 43.277"" N",
91,GLORIA`S STORE,MADAM GLORIA,,NA,ADENTA,ASHIYIE,NOT FAR FROM THE SHELL STATION,NA,,-0.150376864,5.743852481,"0?? 9' 1.357"" W","5?? 44' 37.869"" N",
92,ADOM PAT SUPER MARKET,LINDA  ATISO,,NA,ADENTA,FULANI,NOT FAR FROM THE SHELL STATION,NA,,-0.148532782,5.744982725,"0?? 8' 54.718"" W","5?? 44' 41.938"" N",
93,COMFORT ENTERPRISE,COMFORT,,201545771,ADENTA,ABC WARE HOUSE,ALONG NUUMO ADJEI AGO AVENUE,NUUMO ADJEI  AGO AVENUE,,-0.169239248,5.719600717,"0?? 10' 9.261"" W","5?? 43' 10.563"" N",
94,COMFORT STORE,SISTER COMFORT,,242350384,ADENTA,ABC WARE HOUSE,DIRECTLY OPPOSITE  ADJACENT ROYALE ACADEMY,NUUMO ADJEI  AGO AVENUE,,-0.169643756,5.718345551,"0?? 10' 10.718"" W","5?? 43' 6.044"" N",
95,KUMA`S STORE,KUMA,,507569044,ADENTA,ABC WARE HOUSE,ADJACENT ROYALE ACADEMY,NUUMO ADJEI  AGO AVENUE,,-0.17002447,5.71826227,"0?? 10' 12.088"" W","5?? 43' 5.744"" N",
96,BEJOE ENTERPRISE,BEATRICE JOHNSON,,243212282,ADENTA,PANTANG JUNCTION,ALONG AKWEITE TAWIAH STREET,AKWEITE TAWIAH STREET,,-0.16883474,5.719077236,"0?? 10' 7.805"" W","5?? 43' 8.678"" N",
97,WINNER`S MINI MART,AUNTY PAT,,244502078,ADENTA,OYARIFA,ALONG NUUMO ADJEI AGO AVENUE,NUUMO ADJEI  AGO AVENUE,,-0.167335679,5.723098525,"0?? 10' 2.408"" W","5?? 43' 23.155"" N",
98,NAOMI`S STORE,SISTER NAOMI,,244663501,ADENTA,AMPOMAH,NOT FAR FROM THE VISION HOSPITAL,NA,,-0.168050114,5.743070877,"0?? 10' 4.980"" W","5?? 44' 35.055"" N",
99,MUNI`S STORE,SISTER MUNI,,NA,ADENTA,OWUSU ANSAH,NEAR THE VISION HOSPITAL,NA,,-0.168833074,5.739182016,"0?? 10' 7.799"" W","5?? 44' 21.055"" N",
100,VIDA`S STORE,SIS VIDA  AKO,,276391488,ADENTA,OYARIFA,CLOSE TO THE APOSTOLIC CHURCH,NA,,-0.171995378,5.73764298,"0?? 10' 19.183"" W","5?? 44' 15.515"" N",
101,GLADY`S ENTERPRISE,AUNTY GLADYS,,242116320,ADENTA,OYARIFA,NOT FAR FROM THE SHELL STATION,NA,,-0.170179135,5.724157385,"0?? 10' 12.645"" W","5?? 43' 26.967"" N",
102,TINA`S MART,MAMA TINA,,244736175,ADENTA,FRAFRAHA,NEAR THE PRESBYTARIAN CHURCH,NA,,-0.158839734,5.726699204,"0?? 9' 31.823"" W","5?? 43' 36.117"" N",
103,BEATRICE ENTERPRISE,MAMA BEE,,240752312,ADENTA,FRAFRAHA,NOT FAR FROM AYORKOR COMMEY AVENUE JUNCTION,NA,,-0.157031344,5.726128134,"0?? 9' 25.313"" W","5?? 43' 34.061"" N",
104,BEDIAKO`S ENTERPRISE,REGINA BEDIAKO,,243462348,ADENTA,FRAFRAHA,ALONG AYORKOR COMMEY AVENUE,AYORKOR COMMEY AVENUE,,-0.154782753,5.725521371,"0?? 9' 17.218"" W","5?? 43' 31.877"" N",
105,GLOPAT ENTERPRISE,GLOPAT,,208828711,ADENTA,FRAFRAHA,ALONG NII  ADUSEY COMMEY AVENUE,NII ADUSEY COMMEY AVENUE,,-0.148408177,5.732925064,"0?? 8' 54.269"" W","5?? 43' 58.530"" N",
106,ELIZABBETH ENTERPRISE,ELIZABETH OWUSU,,244857518,ADENTA,FRAFRAHA SUMMER HAT,ADJACENT THE POLICE STATION,NII ADUSEY COMMEY AVENUE,,-0.155869929,5.735609572,"0?? 9' 21.132"" W","5?? 44' 8.194"" N",
107,MAGARET ENTERPRISE,SISTER MAGARET,,249701508,ADENTA,OWUSU ANSAH,ALONG ADENTA -OWUSU ANSAH ROAD,ADENTA-OWUSU ANSAH STREET,,-0.164852394,5.733651276,"0?? 9' 53.469"" W","5?? 44' 1.145"" N",
108,GEORGINA STORE,SISTER GEORGINA,,NA,ADENTA,OWUSU ANSAH,NEAR  ACTION GATE CHAPEL,NA,,-0.164928537,5.736278201,"0?? 9' 53.743"" W","5?? 44' 10.602"" N",
109,LITECIA ENTERPRISE,SISTER LITECIA,,544395005,ADENTA,OWUSU ANSAH,NOT FAR FROM ACTION GATE CHAPEL,NA,,-0.163215325,5.738334055,"0?? 9' 47.575"" W","5?? 44' 18.003"" N",
110,NYAME TIASE,MUMMY,,243344344,ADENTA,OWUSU ANSAH,NEAR LIVING STAR SCHOOL,NA,,-0.157618833,5.735669059,"0?? 9' 27.428"" W","5?? 44' 8.409"" N",
111,JEHOVAH IS MY HELPER,NANA,,273424363,ADENTA,AMPOMA,NEAR SUPREIAL OIL,NA,,-0.1557343,5.738684312,"0?? 9' 20.643"" W","5?? 44' 19.264"" N",
112,JOYCE STORE,MADAM JOYCE,,243250791,ADENTA,ASHIYIE,NOT FAR FROM BETHEL LIGHT SCHOOL,NA,,-0.158189507,5.74575488,"0?? 9' 29.482"" W","5?? 44' 44.718"" N",
